p1		p2	
55173	MRPS10	63931	MRPS14
55173	MRPS10	29093	MRPL22
55173	MRPS10	28977	MRPL42
55173	MRPS10	7818	DAP3
55173	MRPS10	10240	MRPS31
55173	MRPS10	64963	MRPS11
55173	MRPS10	64951	MRPS24
55173	MRPS10	54998	AURKAIP1
55173	MRPS10	51649	MRPS23
55173	MRPS10	51650	MRPS33
55173	MRPS10	7284	TUFM
55173	MRPS10	116541	MRPL54
55173	MRPS10	64976	MRPL40
55173	MRPS10	6182	MRPL12
55173	MRPS10	51318	MRPL35
55173	MRPS10	84545	MRPL43
55173	MRPS10	55052	MRPL20
2978	GUCA1A	2986	GUCY2F
2978	GUCA1A	3000	GUCY2D
9341	VAMP3	8773	SNAP23
9341	VAMP3	9342	SNAP29
9341	VAMP3	1211	CLTA
9341	VAMP3	51209	RAB9B
9341	VAMP3	6616	SNAP25
9341	VAMP3	9026	HIP1R
9341	VAMP3	8723	SNX4
9341	VAMP3	10228	STX6
9341	VAMP3	55014	STX17
9341	VAMP3	6845	VAMP7
9341	VAMP3	8775	NAPA
9341	VAMP3	1213	CLTC
9341	VAMP3	6455	SH3GL1
9341	VAMP3	5868	RAB5A
9341	VAMP3	51542	VPS54
9341	VAMP3	1212	CLTB
9341	VAMP3	6810	STX4
9341	VAMP3	8774	NAPG
9341	VAMP3	50618	ITSN2
9341	VAMP3	5878	RAB5C
9341	VAMP3	8871	SYNJ2
9341	VAMP3	1785	DNM2
9341	VAMP3	26052	DNM3
9341	VAMP3	5869	RAB5B
9341	VAMP3	9892	SNAP91
9341	VAMP3	8675	STX16
9341	VAMP3	2060	EPS15
9341	VAMP3	1759	DNM1
9341	VAMP3	23673	STX12
9341	VAMP3	63908	NAPB
9341	VAMP3	10097	ACTR2
9341	VAMP3	22836	RHOBTB3
9341	VAMP3	6453	ITSN1
9341	VAMP3	6456	SH3GL2
9341	VAMP3	143187	VTI1A
9341	VAMP3	8301	PICALM
9341	VAMP3	4905	NSF
9341	VAMP3	6457	SH3GL3
9341	VAMP3	55275	VPS53
9341	VAMP3	8867	SYNJ1
9341	VAMP3	6293	VPS52
9341	VAMP3	9367	RAB9A
9341	VAMP3	8218	CLTCL1
9341	VAMP3	8677	STX10
2767	GNA11	64106	NPFFR1
2767	GNA11	623	BDKRB1
2767	GNA11	128674	PROKR2
2767	GNA11	2798	GNRHR
2767	GNA11	2862	MLNR
2767	GNA11	2784	GNB3
2767	GNA11	59345	GNB4
2767	GNA11	84634	KISS1R
2767	GNA11	2693	GHSR
2767	GNA11	51764	GNG13
2767	GNA11	2847	MCHR1
2767	GNA11	2791	GNG11
2767	GNA11	2792	GNGT1
2767	GNA11	56923	NMUR2
2767	GNA11	1131	CHRM3
2767	GNA11	4829	NMBR
2767	GNA11	3357	HTR2B
2767	GNA11	5330	PLCB2
2767	GNA11	10681	GNB5
2767	GNA11	2775	GNAO1
2767	GNA11	5290	PIK3CA
2767	GNA11	8477	GPR65
2767	GNA11	185	AGTR1
2767	GNA11	3358	HTR2C
2767	GNA11	5331	PLCB3
2767	GNA11	84539	MCHR2
2767	GNA11	5731	PTGER1
2767	GNA11	2785	GNG3
2767	GNA11	886	CCKAR
2767	GNA11	552	AVPR1A
2767	GNA11	2793	GNGT2
2767	GNA11	94235	GNG8
2767	GNA11	10316	NMUR1
2767	GNA11	23620	NTSR2
2767	GNA11	10887	PROKR1
2767	GNA11	2783	GNB2
2767	GNA11	1128	CHRM1
2767	GNA11	147	ADRA1B
2767	GNA11	1241	LTB4R
2767	GNA11	10886	NPFFR2
2767	GNA11	7201	TRHR
2767	GNA11	1909	EDNRA
2767	GNA11	2837	UTS2R
2767	GNA11	5021	OXTR
2767	GNA11	887	CCKBR
2767	GNA11	54331	GNG2
2767	GNA11	5332	PLCB4
2767	GNA11	23236	PLCB1
2767	GNA11	2770	GNAI1
2767	GNA11	10161	LPAR6
2767	GNA11	1902	LPAR1
2767	GNA11	387129	NPSR1
2767	GNA11	114814	GNRHR2
2767	GNA11	2786	GNG4
2767	GNA11	2773	GNAI3
2767	GNA11	4923	NTSR1
2767	GNA11	23566	LPAR3
2767	GNA11	2787	GNG5
2767	GNA11	680	BRS3
2767	GNA11	5737	PTGFR
2767	GNA11	3062	HCRTR2
2767	GNA11	55970	GNG12
2767	GNA11	94233	OPN4
2767	GNA11	2846	LPAR4
2767	GNA11	2790	GNG10
2767	GNA11	3061	HCRTR1
2767	GNA11	1910	EDNRB
2767	GNA11	2782	GNB1
2767	GNA11	3356	HTR2A
2767	GNA11	146	ADRA1D
2767	GNA11	2925	GRPR
2767	GNA11	148	ADRA1A
2767	GNA11	2788	GNG7
2767	GNA11	84109	QRFPR
2767	GNA11	1133	CHRM5
2767	GNA11	9170	LPAR2
2767	GNA11	6915	TBXA2R
2767	GNA11	56413	LTB4R2
51564	HDAC7	6907	TBL1X
51564	HDAC7	1387	CREBBP
51564	HDAC7	2033	EP300
51564	HDAC7	9611	NCOR1
51564	HDAC7	8841	HDAC3
51564	HDAC7	9612	NCOR2
51564	HDAC7	79718	TBL1XR1
60488	MRPS35	64969	MRPS5
60488	MRPS35	65080	MRPL44
60488	MRPS35	10573	MRPL28
60488	MRPS35	55173	MRPS10
60488	MRPS35	51116	MRPS2
60488	MRPS35	51264	MRPL27
60488	MRPS35	64983	MRPL32
60488	MRPS35	51258	MRPL51
60488	MRPS35	51073	MRPL4
60488	MRPS35	51081	MRPS7
60488	MRPS35	64432	MRPS25
60488	MRPS35	55037	PTCD3
60488	MRPS35	92259	MRPS36
60488	MRPS35	11222	MRPL3
60488	MRPS35	64965	MRPS9
60488	MRPS35	29088	MRPL15
60488	MRPS35	23107	MRPS27
60488	MRPS35	28957	MRPS28
60488	MRPS35	51021	MRPS16
60488	MRPS35	54460	MRPS21
60488	MRPS35	740	MRPL49
60488	MRPS35	63875	MRPL17
60488	MRPS35	51373	MRPS17
60488	MRPS35	51023	MRPS18C
60488	MRPS35	84340	GFM2
60488	MRPS35	54948	MRPL16
60488	MRPS35	54148	MRPL39
60488	MRPS35	28998	MRPL13
60488	MRPS35	6183	MRPS12
60488	MRPS35	64978	MRPL38
60488	MRPS35	84311	MRPL45
60488	MRPS35	65003	MRPL11
60488	MRPS35	56945	MRPS22
60488	MRPS35	26589	MRPL46
60488	MRPS35	10240	MRPS31
60488	MRPS35	65008	MRPL1
60488	MRPS35	64951	MRPS24
60488	MRPS35	64963	MRPS11
60488	MRPS35	51649	MRPS23
60488	MRPS35	54998	AURKAIP1
60488	MRPS35	51650	MRPS33
60488	MRPS35	7284	TUFM
60488	MRPS35	116541	MRPL54
60488	MRPS35	64976	MRPL40
60488	MRPS35	6182	MRPL12
60488	MRPS35	84545	MRPL43
60488	MRPS35	55052	MRPL20
60488	MRPS35	7818	DAP3
60488	MRPS35	92399	MRRF
60488	MRPS35	122704	MRPL52
60488	MRPS35	219927	MRPL21
60488	MRPS35	29074	MRPL18
60488	MRPS35	65005	MRPL9
60488	MRPS35	64928	MRPL14
60488	MRPS35	64975	MRPL41
60488	MRPS35	118487	CHCHD1
60488	MRPS35	55168	MRPS18A
60488	MRPS35	64960	MRPS15
60488	MRPS35	64949	MRPS26
60488	MRPS35	6150	MRPL23
60488	MRPS35	64979	MRPL36
60488	MRPS35	51069	MRPL2
60488	MRPS35	64968	MRPS6
60488	MRPS35	9801	MRPL19
60488	MRPS35	65993	MRPS34
60488	MRPS35	85476	GFM1
60488	MRPS35	57129	MRPL47
60488	MRPS35	63931	MRPS14
60488	MRPS35	29093	MRPL22
3784	KCNQ1	9196	KCNAB3
3784	KCNQ1	8514	KCNAB2
3784	KCNQ1	7881	KCNAB1
27238	GPKOW	9716	AQR
27238	GPKOW	9785	DHX38
27238	GPKOW	5438	POLR2I
27238	GPKOW	27339	PRPF19
27238	GPKOW	57794	SUGP1
27238	GPKOW	22826	DNAJC8
27238	GPKOW	5546	PRCC
27238	GPKOW	5439	POLR2J
27238	GPKOW	23524	SRRM2
27238	GPKOW	5430	POLR2A
27238	GPKOW	23350	U2SURP
27238	GPKOW	10250	SRRM1
27238	GPKOW	1665	DHX15
27238	GPKOW	9879	DDX46
27238	GPKOW	56259	CTNNBL1
27238	GPKOW	10286	BCAS2
27238	GPKOW	988	CDC5L
27238	GPKOW	10946	SF3A3
