	mi2		
1641.5	55038.4	0.2239452	0.2317815
1641.5	1399.4	0.2217267	0.2294855
1641.5	596.4	0.3282379	0.3397236
1641.5	92140.4	0.03391636	0.03510317
1641.5	3845.4	0.4117441	0.426152
1641.5	4609.4	0.6104358	0.6317963
1641.5	6624.4	0.1759365	0.1820929
1641.5	331.4	0.2135908	0.2210649
1641.5	6667.4	0.2148784	0.2223974
1641.5	26578.4	0.1226174	0.126908
1641.5	6657.4	0.4718015	0.4883109
1641.5	27252.4	0.4490988	0.4648138
1641.5	54206.4	0.2916714	0.3018777
1641.5	5789.4	0.7035389	0.7281573
1641.5	63916.4	0.2154819	0.2230221
1641.5	55914.4	0.219268	0.2269406
1641.5	8314.4	0.3414132	0.35336
1641.5	22884.4	0.2960377	0.3063967
1641.5	55697.4	0.3433159	0.3553293
1641.5	83439.4	0.5695914	0.5895227
1641.5	3215.4	0.1475202	0.1526823
1641.5	9770.4	0.180239	0.186546
1641.5	54453.4	0.432354	0.447483
1641.5	8462.4	0.4044829	0.4186367
1641.5	989.4	0.4133476	0.4278116
1641.5	6464.4	0.1540336	0.1594236
1641.5	10018.4	0.4588247	0.47488
1641.5	2627.4	0.575962	0.5961163
1641.5	11228.4	0.4137958	0.4282755
1641.5	27244.4	0.3931537	0.406911
1641.5	57826.4	0.3265766	0.3380042
1641.5	29959.4	0.1115588	0.1154625
1641.5	10152.4	0.3687396	0.3816426
1641.5	51379.4	0.07876301	0.0815191
1641.5	2182.4	0.3491739	0.3613923
1641.5	10484.4	0.1651325	0.1709108
1641.5	10818.4	0.4084761	0.4227696
1641.5	26986.4	0	0
1641.5	203068.4	0	0
1641.5	835.4	0.3107478	0.3216216
1641.5	7280.4	0.5834199	0.6038351
1641.5	5310.4	0.2520551	0.260875
1641.5	1786.4	0.3869794	0.4005207
1641.5	57532.4	0.1910434	0.1977284
1641.5	871.4	0.2876325	0.2976974
